id,name,parent_id,color,label_tree_id,source_id
149244,Green,149240,f56280,558,
149245,Green,149215,5ef878,558,
149246,Green,149125,f23d88,558,
149247,Green,149218,f95d97,558,
149248,Green,149219,f28f36,558,
149249,Green,149227,e871e9,558,
149250,Green,149347,fb515e,558,
149251,Hard,149162,31e5fb,558,
149252,"Hermit crabs",149191,f28442,558,
149253,High,149326,24f497,558,
149254,"High (>3m)",149253,0575f8,558,
149255,Hydrocorals,149169,d95ef8,558,
149256,Hydroids,149169,42f36c,558,
149257,Hydromedusae,149260,0afefc,558,
149258,"Incomplete cup / curled fan",149198,33ff5f,558,
149259,"Irregular urchins",149344,2409fd,558,
149260,Jellies,149137,89ed3c,558,
149261,"King crabs",149186,1a9afb,558,
149262,Laminar,149220,1721e6,558,
149263,Laminate,149272,f3365f,558,
149264,"Large canopy-forming",149272,aae964,558,
149265,"Large depression",149327,e535f7,558,
149266,"Large mound",149205,9ef15d,558,
149267,"Large rosette",149223,41f7e5,558,
149268,Lobsters,149191,816af5,558,
149269,"Low (<1m)",149270,75eb8f,558,
149270,"Low / moderate",149326,ef67f6,558,
149271,"Lumpy xenophyophore",149294,4e14e7,558,
149272,Macroalgae,149137,0b0feb,558,
149274,Massive,149251,195cf0,558,
149275,"Massive forms",149365,4268f4,558,
149276,"Massive soft corals",149141,e96467,558,
149277,Matchstick,149393,9b57f6,558,
149278,Mesh,149393,3df37d,558,
149279,"Moderate (1-3m)",149270,00caf3,558,
149280,Molluscs,149137,4ef583,558,
149281,"Mounded casts",149399,a6e763,558,
149282,"Mounded trail",149189,b9e839,558,
149283,"Mud / silt (<64um)",149338,07ef90,558,
149284,Mushroom,149232,0cedb1,558,
149286,"Nest casts",149399,5ef742,558,
149287,Non-calcareous,149324,f3ff4d,558,
149288,Non-fleshy,149152,fa0d67,558,
149289,None,149134,1828f7,558,
149290,"Oblique burrow",149205,fa4e05,558,
149291,Octopods,149166,4030f5,558,
149292,Ophiuroids,149206,41faf8,558,
149293,"Organ pipe coral (Tubipora)",149141,fb23b3,558,
149294,"Organism tests",149139,f61ee7,558,
149295,Other,149128,9028e7,558,
149296,"Other anemones",149386,50f302,558,
149297,"Other polychaetes",149310,dc63e7,558,
149298,"Ovoid pinnate",149393,840eec,558,
149299,"Paired burrow",149205,c5ee6c,558,
149300,Palmate,149220,f959ff,558,
149301,"Pebble (10-64mm)",149302,3df890,558,
149302,"Pebble / gravel",149392,e5b663,558,
149303,"Pelagic / swimming",149341,f66f90,558,
149304,Penisworms,149406,3042f7,558,
149305,"Perforated trail",149189,57eb80,558,
149306,"Petal rosette",149223,9bfc7b,558,
149307,Physical,,e765e7,558,
149308,"Pincushion rosette",149223,5749e6,558,
149309,Pogostick,149393,c672fa,558,
149310,Polychaetes,149406,0a8ce8,558,
149311,"Porcelain crabs",149186,46baf9,558,
149312,"Prawns / shrimps / mysids",149191,38efac,558,
149313,Pyrosomes,149260,43b3f5,558,
149314,"Quill (seapen)",149141,6573f1,558,
149315,"Rayed mound",149223,5efb97,558,
149316,"Rays & skates",149209,39b4fd,558,
149317,Red,149263,5242fe,558,
149318,Red,149240,9df936,558,
149319,Red,149227,a905fa,558,
149320,Red,149219,96fd03,558,
149321,Red,149218,4989f8,558,
149322,Red,149125,75f0bc,558,
149323,Red,149347,7a5cef,558,
149324,Red,149215,f047d0,558,
149325,"Regular urchins",149344,fead15,558,
149326,Relief,149307,6cbff7,558,
149327,"Resting traces",149139,f6de45,558,
149328,Rhodoliths,149136,f75332,558,
149329,Rigid,149221,5dfd69,558,
149330,"Ripples (<10cm height)",149119,0776f6,558,
149331,"Ripples (<10cm height)",149120,69a7fc,558,
149332,Rock,149180,b666ee,558,
149333,"Rock lobsters",149268,619cee,558,
149334,"Round casts",149399,41d1f8,558,
149335,"Round pinnate",149393,ed3c54,558,
149336,"Rounded crater ring",149205,6d7ded,558,
149337,Salps,149260,45e9ea,558,
149338,"Sand / mud (<2mm)",149392,dce86f,558,
149339,Screwshells,149136,e3fd77,558,
149340,Scyphozoa,149260,ec0dc0,558,
149341,"Sea cucumbers",149206,ec9a26,558,
149342,"Sea spiders",149137,4255ed,558,
149343,"Sea stars",149206,f98133,558,
149344,"Sea urchins",149206,7c2be8,558,
149345,Seagrasses,149137,fc4d0a,558,
149346,Sharks,149209,f56a18,558,
149347,"Sheet-like / membraneous",149272,e558c1,558,
149348,Simple,149144,ee160b,558,
149349,Simple,149226,f165cd,558,
149350,Simple,149275,bbf61a,558,
149351,Simple,149220,5ce6cf,558,
149352,"Single burrow",149205,d6e763,558,
149353,Siphonophores,149260,8fe60e,558,
149354,Sipuncula,149406,edb374,558,
149355,"Slipper lobsters / bugs",149268,e66021,558,
149356,"Small mound",149205,c8f85d,558,
149357,"Small rosette",149223,4b5deb,558,
149358,Soft,149162,56ee16,558,
149360,Solitary,149394,776def,558,
149361,Solitary,149370,84f762,558,
149362,Spider,149393,68dde8,558,
149363,"Spiked crater ring",149205,d45bf4,558,
149364,Spirals,149399,f3ce56,558,
149365,Sponges,149137,4cf739,558,
149366,"Spotted mound",149205,7196e8,558,
149367,"Squat lobsters",149268,32e7f1,558,
149368,Squid,149166,06a7e6,558,
149370,Stalked,149126,e5f54a,558,
149371,Stalked,149131,ede15f,558,
149372,Stalked,149220,73ff96,558,
149373,"Stalked crinoids",149222,e7e61b,558,
149374,"Star impression",149327,4067eb,558,
149376,"Strap-like leaves",149345,e851dd,558,
149378,"Submassive / encrusting",149255,7110fb,558,
149379,Substrate,149307,ef60cc,558,
149380,Switchbacks,149399,5dcefe,558,
149381,"Tables / discs",149198,ff524d,558,
149383,"Thick trail",149189,3be880,558,
149384,"Thin trail",149189,2dd7ec,558,
149385,"Trapdoor burrow",149205,ceef0b,558,
149386,"True anemones",149169,90fd3b,558,
149387,"True crabs",149186,16fa4b,558,
149388,"True lobsters",149268,2ee9df,558,
149389,"Tube anemones",149169,ec42b8,558,
149390,"Tube worms",149310,4893f2,558,
149391,"Tubes and chimneys",149197,aaf23d,558,
149392,"Unconsolidated (soft)",149379,43f7e8,558,
149393,"Unknown origin",149139,ec30e9,558,
149394,Unstalked,149126,4a22f0,558,
149395,"Unstalked crinoids",149222,0f8bf5,558,
149396,"Urchin trace",149327,3e28f3,558,
149397,"Vertical burrow",149205,ea0f23,558,
149398,Wall,149253,f96c08,558,
149399,"Waste casts",149139,b22aef,558,
149400,"Waves (>10cm height)",149119,52e6b8,558,
149401,"Waves (>10cm height)",149120,f711f0,558,
149402,"Wavy casts",149399,a520f0,558,
149403,Whip,149141,91f71a,558,
149404,"With anemones",149252,1864f0,558,
149405,"With shell or stone home",149252,fe09f5,558,
149406,Worms,149137,5ddcfe,558,
149407,Zoanthids,149175,f26eb0,558,
149451,"Allostichaster capensis",149343,f98133,558,178784
149452,"Anasterias antarctica",149343,f98133,558,178786
149453,"Cosmasterias lurida",149343,f98133,558,172678
149454,"Odontaster penicillatus",149343,b418f2,558,177924
149455,"Arbacia dufresnii",149325,fead15,558,160786
149456,"Pseudechinus magellanicus",149325,700cf2,558,160822
149458,"Ophiomyxa vivipara",149153,62b9e6,558,212433
149459,"Carcinus maenas",149387,16fa4b,558,107381
149460,"Leurocyclus tuberculosus",149387,16fa4b,558,441987
149461,"Lithodes santolla",149261,1a9afb,558,368559
149462,"Peltarion spinulosum",149387,16fa4b,558,366243
149463,"Ovalipes trimaculatus",149387,16fa4b,558,246565
149465,Munida,149367,32e7f1,558,106835
149466,"Pleoticus muelleri",149312,38efac,558,377568
149467,"Austromegabalanus psittacus",149121,e70411,558,535006
149468,"Polyzoa opuntia",149173,0658ef,558,173973
149469,Metridium,149296,50f302,558,100770
149472,Pennatulacea,149141,e62b47,558,
149473,Renilla,149472,e62b47,558,267800
149474,"Adelomelon ancilla",149239,d364e9,558,606556
149475,"Buccinanops deformis",149239,d364e9,558,532464
149477,Calliostoma,149239,d364e9,558,138584
149478,"Tegula patagonica",149239,d364e9,558,533470
149479,"Odontocymbiola magellanica",149239,d364e9,558,384729
149480,"Sebastes oculatus",149143,fedc44,558,274829
149481,"Anthropogenic object",149307,e765e7,558,
149482,"Undaria pinnatifida",149157,48b2fd,558,145721
149483,"Macrocystis pyrifera",149157,f23da7,558,232231
149484,Ulva,149250,fb515e,558,144296
149485,"Dictyota dichotoma",149156,f66511,558,145367
149486,Gracilaria,149320,96fd03,558,144188
149487,"Leucippa pentagona",149387,16fa4b,558,441460
155712,"Antholoba achates",149296,50f302,558,287436
156389,Unknown,149137,38ed82,558,
